is_pancake,recipe_id,servings,flour,eggs,baking_powder,baking_soda,butter,oil,buttermilk,fruit,milk,sugar,water,total_volume,std_volume,total_liquid,std_liquid,prop_liquid,total_fat,prop_fat
1,219167,6,2,1,0.0416666,0.0208333,NA,0.1458333,NA,2,1.5,0.1875,NA,5.94791645,0.9913194083333333,3.5,0.5833333333333334,0.5884413524335904,0.1458333,0.024518384080529577
1,74968,2,0.1875,0.25,0.0208333,NA,NA,NA,NA,2,NA,NA,NA,0.7499999,0.37499995,0,0,0,0,0
1,17214,12,1,2,0.0208333,0.015624975,NA,0.3333333333333333,NA,NA,0.5,0.125,NA,3.005208258333333,0.2504340215277778,0.5,0.041666666666666664,0.16637782044339797,0.3333333333333333,0.1109185469622653
1,265294,10,1.5,1,0.0416666,NA,0.1875,NA,NA,NA,1.25,0.0625,NA,3.0624999,0.30624999,1.25,0.125,0.40816327863390295,0.1875,0.06122449179508544
1,256120,45,1,2,NA,0.0208333,NA,NA,NA,NA,NA,0.3125,NA,3.3541666,0.07453703555555556,0,0,0,0,0
1,247009,4,0.625,1,0.0208333,0.01041665,0.5,0.03125,NA,2,0.7916666666666666,0.25,NA,2.8385415416666664,0.7096353854166666,0.7916666666666666,0.19791666666666666,0.2788990948506024,0.53125,0.18715597154448316
1,235535,4,1.25,1,0.0416666,NA,NA,0.0625,NA,NA,1,0.25,NA,2.6197915750000003,0.6549478937500001,1,0.25,0.38170975490674286,0.0625,0.02385685968167143
1,207315,6,1,1,0.0416666,NA,NA,0.125,NA,NA,1,0.25,NA,4.1874999,0.6979166499999999,1,0.16666666666666666,0.23880597585208302,0.125,0.029850746981510377
1,21480,6,2,2,0.0416666,NA,NA,NA,NA,NA,2,0.0416666,NA,4.084635283333333,0.6807725472222222,2,0.3333333333333333,0.4896397992155293,0,0
1,150344,4,0.5,1,0.125,NA,NA,0.125,NA,NA,1,NA,NA,2.625,0.65625,1,0.25,0.38095238095238093,0.125,0.047619047619047616
1,257826,4,1,1,0.03124995,NA,NA,0.0625,NA,NA,1,NA,NA,2.3437499500000003,0.5859374875000001,1,0.25,0.426666675768889,0.0625,0.026666667235555563
1,222132,8,1.5,2,0.07291655,NA,0.125,NA,NA,NA,1.25,0.0625,NA,3.03124985,0.37890623125,1.25,0.15625,0.4123711544266138,0.125,0.041237115442661385
1,232128,8,0.75,2,NA,NA,NA,0.0625,NA,NA,0.6666666666666666,NA,0.6666666666666666,2.1527777666666665,0.2690972208333333,1.3333333333333333,0.16666666666666666,0.6193548419063476,0.0625,0.029032258214360045
1,236940,2,0.125,2,0.0013020833333333333,0.0013020833333333333,NA,NA,NA,1,NA,NA,NA,0.14973955,0.074869775,0,0,0,0,0
1,20520,4,1,4,NA,NA,0.3125,NA,NA,NA,1,0.125,NA,3.442708325,0.86067708125,2,0.5,0.5809379741747364,0.3125,0.09077155846480256
1,239377,4,1.25,1,0.0625,NA,NA,0.1875,NA,0.5,0.75,NA,NA,2.25,0.5625,0.75,0.1875,0.3333333333333333,0.1875,0.08333333333333333
1,264824,2,1.1041666333333333,5,0.0208333,NA,NA,NA,NA,NA,1,0.0624999,NA,2.2617184666666668,1.1308592333333334,1,0.5,0.44214167887739164,0,0
1,228654,3,0.6666666666666666,2,0.03124995,NA,0.0833332,NA,NA,NA,1.25,0.125,NA,2.8489581083333326,0.9496527027777776,1.25,0.4166666666666667,0.4387568902272353,0.0833332,0.029250412547747396
1,223104,4,1.3333333333333333,NA,NA,0.01041665,NA,0.125,NA,1.5,1.3333333333333333,0.3333333333333333,NA,4.791666599999999,1.1979166499999998,2.333333333333333,0.5833333333333333,0.4869565285141778,0.125,0.0260869568846881
1,228734,4,0.5,3,NA,NA,0.3125,NA,NA,3,0.5,0.25,NA,3.09374995,0.7734374875,0.5,0.125,0.16161616422814004,0.3125,0.10101010264258752
1,257942,4,3.0625,1,0.09375,0.005208325,NA,0.2083333,NA,NA,NA,NA,1.5,5.135416599999999,1.2838541499999998,1.5,0.375,0.2920892532847287,0.2083333,0.04056794535422891
1,218306,4,1,1,0.0208333,0.005208325,0.1875,NA,0.75,0.5,NA,0.3125,NA,3.4999998999999997,0.8749999749999999,0.75,0.1875,0.21428572040816346,0.1875,0.053571430102040865
1,260510,4,1.75,1,0.0208333,NA,0.1458333,NA,0.875,NA,0.5,0.125,NA,3.4166666,0.85416665,1.375,0.34375,0.4024390322427128,0.1458333,0.04268291790600815
1,241553,4,1,1,0.0208333,0.005208325,0.0625,NA,1.25,NA,NA,0.03124995,NA,2.3802082249999996,0.5950520562499999,1.25,0.3125,0.5251641376879959,0.0625,0.026258206884399792
1,239284,8,1,6,NA,NA,0.25,NA,NA,3.5,1,0.5625,NA,4.843749949999999,0.6054687437499999,3,0.375,0.6193548451030179,0.25,0.05161290375858482
1,254303,4,1,0.5,0.03124995,NA,NA,0.0625,NA,2.5,0.75,0.125,NA,2.73958325,0.6848958125,1,0.25,0.36501902251008433,0.0625,0.02281368890688027
1,269522,2,0.5,NA,0.01041665,NA,NA,NA,NA,1,0.75,0.125,NA,1.921874925,0.9609374625,0.75,0.375,0.39024391766805533,0,0
1,21454,4,1,6,NA,NA,0.125,NA,NA,1,1,NA,NA,2.125,0.53125,1,0.25,0.47058823529411764,0.125,0.058823529411764705
1,139517,8,2,8,NA,NA,0.5,NA,NA,2,2,0.0416666,NA,5.57291655,0.69661456875,3,0.375,0.5383177682788018,0.5,0.08971962804646698
1,59853,4,1.0625,NA,0.03124995,NA,NA,NA,NA,NA,0.5,0.0625,0.5,2.171874925,0.54296873125,1,0.25,0.46043167057605766,0,0
1,240041,2,0.015624975,NA,0.0026041625,0.0026041625,NA,NA,NA,0.5,0.25,NA,NA,0.3307290375,0.16536451875,0.25,0.125,0.7559058070309294,0,0
1,255515,4,2,3,0.01041665,0.01041665,NA,NA,NA,NA,0.5,NA,NA,2.5429686833333336,0.6357421708333334,0.5,0.125,0.19662058887197856,0,0
1,69260,5,1,1,0.0624999,NA,NA,0.1875,NA,NA,1,NA,NA,2.6249998999999997,0.5249999799999999,1,0.2,0.3809523954648532,0.1875,0.07142857414965997
1,216755,6,1.25,1,0.0625,NA,NA,0.2083333,NA,NA,1.3333333333333333,0.09375,NA,3.0416665833333334,0.5069444305555556,1.3333333333333333,0.2222222222222222,0.43835617639331986,0.2083333,0.06849314160255182
