recipe_id,is_pancake,servings,agave,baking_powder,baking_soda,bran,butter,buttermilk,cheese,chocolate,cornmeal,cream,cream_cheese,eggs,flour,frosting,fruit,fruit_juice,honey,low_cal_sweetener,margarine,mayonnaise,milk,mix,molasses,nut,oats,oil,other,salt,shortening,sour_cream,spice,starch,sugar,syrup,vanilla,vegetable,vinegar,water,wheat_germ,yeast,yogurt
83723,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,0.005208325,NA,NA,NA,NA,0.0208333,NA,NA,NA,NA,NA,NA,NA,NA
187567,1,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,0.3333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214012,1,10,NA,0.0208333,0.005208325,NA,NA,NA,NA,NA,NA,NA,NA,1,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,0.005208325,NA,NA,0.03124995,NA,NA,NA,0.01041665,NA,NA,1.5,NA,NA,NA
231278,1,2,NA,NA,NA,NA,0.1875,NA,NA,NA,NA,NA,NA,2,0.5,NA,NA,0.25,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,0.005208325,NA,NA,NA,NA,0.0833333,NA,NA,NA,NA,NA,NA,NA,NA
80533,1,6,NA,0.0208333,0.005208325,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0.75,NA,NA,NA,NA,NA,0.3333333333333333,NA,NA,NA,0.3333333333333333,NA,NA,NA,NA,0.5,0.01041665,NA,NA,NA,0.0208333,NA,NA,NA,NA,NA,NA
52581,1,4,NA,NA,NA,NA,0.125,NA,NA,NA,NA,NA,NA,4,0.5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,0.0013020833333333333,NA,NA,NA,NA,0.0625,NA,NA,NA,NA,NA,NA,NA,NA
234702,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0208333,NA,0.005208325,NA,NA,NA,NA,NA,0.0625,NA,NA,NA,0.25,NA,NA,NA
17487,1,6,NA,NA,NA,NA,0.3333333333333333,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01041665,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA
17488,1,12,NA,NA,0.0208333,NA,0.625,0.75,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,0.125,0.0416666,NA,NA,NA,NA,NA,NA
40071,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.1875,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA
191710,1,5,NA,0.01041665,0.01041665,NA,0.1875,1.25,NA,NA,0.75,NA,NA,2,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01041665,NA,NA,NA,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA
232131,1,4,NA,0.0416666,0.01041665,NA,NA,2.25,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1875,NA,0.01041665,NA,NA,NA,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA
50936,1,9,NA,NA,NA,NA,0.125,NA,NA,NA,NA,NA,NA,6,1,NA,2,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,0.01041665,NA,NA,0.005208325,NA,0.375,NA,0.0208333,NA,NA,NA,NA,NA,NA
17611,1,4,NA,0.0208333,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0.75,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,0.125,NA,NA,NA,NA,0.005208325,NA,0.0625,NA,NA,NA,NA,NA,NA,NA,0.5
45145,1,4,NA,0.0416666,NA,NA,0.125,NA,NA,NA,0.75,NA,NA,1,0.75,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.5,NA,NA,NA,0.0208333,NA,NA,NA,NA,0.0625,NA,NA,NA,NA,1,NA,NA,NA
24210,1,3,NA,NA,NA,NA,0.03125,NA,NA,NA,NA,NA,NA,2,0.5,NA,2,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,0.125,NA,0.0013020833333333333,NA,NA,NA,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA
11501,1,8,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,3,1.25,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,0.0208333,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
74968,1,2,NA,0.0208333,NA,NA,NA,NA,0.5,NA,NA,NA,NA,0.25,0.1875,NA,2,NA,NA,0.0416666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
